,trackname,album,artist,length,popularity,danceability,acousticness,energy,instrumentalness, mode,liveness,loudness,speechiness,tempo,time_signature,valence,genres
168,Gewitter,Gewitter,Mert,133451,43,0.748,0.0381,0.345,6.52e-06,1,0.119,-13.641,0.563,127.752,5,0.241,chicago rap
169,Benzema,Benzema,Zuna,137348,43,0.821,0.267,0.785,2.52e-05,1,0.107,-6.538,0.297,110.26,3,0.548,
170,Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),Lady Gaga,182200,83,0.672,0.021,0.855,0.0,1,0.323,-3.764,0.0397,123.056,4,0.646,dance pop
171,Genie In a Bottle,Christina Aguilera (Expanded Edition),Christina Aguilera,217573,72,0.627,0.21,0.8,0.000123,1,0.137,-6.945,0.162,175.815,4,0.912,indiecoustica
172,Go Crazy,Slime & B,Chris Brown,176960,84,0.755,0.316,0.578,0.0,0,0.25,-8.932,0.145,94.148,4,0.581,dance pop
173,Her Mevsim Yazım,Her Mevsim Yazım,Zeynep Bastık,193580,61,0.706,0.206,0.766,1.02e-05,1,0.277,-6.84,0.0772,92.977,4,0.879,turkish pop
174,Conan x Xenia,Conan x Xenia,Haftbefehl,200773,54,0.781,0.235,0.755,2.6e-05,1,0.295,-6.607,0.213,147.972,4,0.52,neue deutsche harte
175,90-60-111,90-60-111,SHIRIN DAVID,141386,62,0.8,0.103,0.628,0.0,1,0.391,-6.615,0.285,143.979,4,0.745,frauenrap
176,MEGATRON,MEGATRON,Nicki Minaj,190746,69,0.893,0.128,0.641,8.06e-05,1,0.086,-3.051,0.272,94.017,4,0.771,dance pop
177,Salt,Salt,Ava Max,180283,22,0.693,0.131,0.835,0.0,1,0.073,-3.242,0.0623,128.057,4,0.743,dance pop
178,Breaking Me,Breaking Me,Topic,166793,88,0.789,0.223,0.72,0.0,0,0.129,-5.652,0.218,122.031,4,0.664,german dance
179,Hush Hush; Hush Hush,Doll Domination,The Pussycat Dolls,253146,40,0.627,0.0555,0.795,0.0,0,0.354,-4.059,0.0629,129.401,4,0.604,dance pop
180,Blinding Lights,After Hours,The Weeknd,200040,46,0.515,0.00146,0.731,9.59e-05,1,0.0897,-5.934,0.0592,171.004,4,0.336,canadian contemporary r&b
181,Drake & Rihanna,Drake & Rihanna,Pietro Lombardi,190506,38,0.478,0.159,0.806,4.08e-06,0,0.348,-4.044,0.265,98.066,4,0.508,german pop
182,Kommunikation,Kommunikation,Eno,177040,51,0.771,0.237,0.731,3.48e-05,0,0.217,-5.387,0.0534,76.98,4,0.844,melodic rap
183,Irgendwann,Irgendwann,Anderson Rey,168127,0,0.672,0.741,0.282,0.000342,1,0.139,-18.172,0.0456,140.079,4,0.403,
184,Ziyan,Mürekkep,Sıla,242898,32,0.655,0.183,0.738,0.0,1,0.107,-4.638,0.0307,111.868,4,0.183,opm
185,Ödeştik,Yaş Hikayesi,Merve Özbey,261596,35,0.585,0.114,0.639,0.0,0,0.33,-7.388,0.0505,145.745,4,0.262,turkish pop
187,Konumuz Var,Devran,Merve Özbey,188571,18,0.736,0.287,0.596,0.00113,0,0.0889,-8.088,0.0326,132.998,4,0.298,turkish pop
189,Olmadı,Olmadı,İdo Tatlıses,257193,48,0.677,0.0357,0.816,0.000103,1,0.208,-2.87,0.232,175.917,4,0.391,turkish pop
190,Hadi Gel Gezelim,Hadi Gel Gezelim,Ali471,164705,59,0.744,0.293,0.76,1.62e-05,0,0.0885,-4.87,0.0394,102.023,4,0.512,
191,Can't Remember to Forget You (feat. Rihanna),Shakira. (Expanded Edition),Shakira,206866,65,0.694,0.122,0.81,0.0,0,0.141,-3.556,0.0661,137.968,4,0.824,dance pop
192,Edhe ti,Edhe ti,Tayna,195250,0,0.794,0.165,0.746,0.0,0,0.126,-3.522,0.314,99.846,4,0.725,
193,Nalan,Nalan,Emir Can İğrek,199958,64,0.54,0.19,0.418,0.685,0,0.198,-15.57,0.0761,91.042,4,0.189,turkish pop
194,I Miss U,I Miss U,Nej,212666,29,0.749,0.226,0.751,3.61e-05,1,0.0841,-3.671,0.0513,101.978,4,0.476,meme rap
