,trackname,album,artist,length,popularity,danceability,acousticness,energy,instrumentalness, mode,liveness,loudness,speechiness,tempo,time_signature,valence,genres
101,Too Good,Views,Drake,263373,1,0.804,0.0573,0.648,3.49e-05,1,0.102,-7.805,0.117,117.983,4,0.392,canadian hip hop
102,Don't Be a Fuck Boy,Don't Be a Fuck Boy,Netherfriends,211875,40,0.744,0.51,0.543,0.000131,0,0.101,-7.233,0.0739,127.94,4,0.33,shimmer pop
113,Fuck Boys Never Glow,Don't Be a Fuck Boy,Netherfriends,212343,19,0.592,0.429,0.542,0.00687,0,0.138,-6.815,0.0522,127.932,4,0.159,shimmer pop
124,Fuck Boys on the Internet,Don't Be a Fuck Boy 2,Netherfriends,181818,10,0.7,0.149,0.646,0.0351,0,0.131,-8.351,0.0422,95.531,4,0.301,shimmer pop
135,The World Is a Fuck Boy,Don't Be a Fuck Boy 2,Netherfriends,149142,5,0.492,0.872,0.353,0.00263,0,0.0887,-12.16,0.0365,139.942,4,0.0526,shimmer pop
146,No Fuck Boy Zone,Don't Be a Fuck Boy 2,Netherfriends,151666,3,0.486,0.353,0.686,0.000214,1,0.135,-8.089,0.17,179.849,4,0.422,shimmer pop
157,Fuck Boys Fight,Don't Be a Fuck Boy 2,Netherfriends,192750,22,0.707,0.409,0.308,0.00147,1,0.125,-9.732,0.0414,80.036,4,0.295,shimmer pop
168,Fuck Boys Never Win,Don't Be a Fuck Boy 2,Netherfriends,172054,20,0.512,0.291,0.538,0.000339,1,0.136,-9.611,0.0847,146.168,4,0.283,shimmer pop
179,Fuck Boys Don't Cry,Don't Be a Fuck Boy 2,Netherfriends,211648,3,0.641,0.943,0.386,0.124,1,0.106,-12.11,0.0465,91.012,4,0.357,shimmer pop
190,Donald Trump Is a Fuck Boy,Don't Be a Fuck Boy 2,Netherfriends,155844,6,0.361,0.589,0.501,0.00899,0,0.121,-11.34,0.261,154.081,4,0.175,shimmer pop
201,Fuck Boys Ruin Everything,Don't Be a Fuck Boy 2,Netherfriends,161142,27,0.722,0.86,0.444,0.0795,0,0.0756,-9.955,0.0865,139.871,4,0.195,shimmer pop
212,We Are All Fuck Boys,Don't Be a Fuck Boy 2,Netherfriends,216410,2,0.534,0.114,0.605,0.00237,0,0.0992,-8.911,0.176,155.929,4,0.279,shimmer pop
223,Get What You Came For,Get What You Came For,Kav Verhouzer,194805,38,0.686,0.118,0.823,6.06e-06,1,0.204,-5.03,0.0305,124.03,4,0.486,deep tropical house
224,Stay (with Alessia Cara),Stay,Zedd,210090,1,0.679,0.232,0.634,0.0,0,0.115,-5.024,0.0654,102.013,4,0.498,complextro
225,Phone Down (feat. Emily Warren) - Trinix Remix,Phone Down (Remixes) (feat. Emily Warren),Lost Kings,251866,30,0.475,0.154,0.852,0.0,1,0.0521,-2.669,0.145,81.608,4,0.226,alt z
226,That's What I Like,24K Magic,Bruno Mars,206693,83,0.853,0.013,0.56,0.0,1,0.0944,-4.961,0.0406,134.066,4,0.86,pop
227,Mask Off,FUTURE,Future,204600,45,0.833,0.0102,0.434,0.0219,1,0.165,-8.795,0.431,150.062,4,0.281,atl hip hop
228,Secrets,Waking Up,OneRepublic,224693,0,0.516,0.0717,0.764,0.0,1,0.115,-6.223,0.0366,148.021,4,0.376,dance pop
229,İçimdeki Duman,İçimdeki Duman,İlyas Yalçıntaş,221001,41,0.546,0.553,0.679,0.0,1,0.146,-6.28,0.0353,91.816,4,0.504,persian pop
230,Aşksın Sen,Aşksın Sen,Furkan Kızılay,219226,0,0.608,0.0456,0.645,0.0,1,0.0631,-7.126,0.0359,137.019,4,0.378,
231,İki Aşık,İki Aşık,Ersay Üner,214060,38,0.653,0.489,0.47,0.0,0,0.21,-7.568,0.0484,126.811,4,0.694,turkish pop
232,Vurulmuşum,Simsiyah,Mustafa Ceceli,244780,0,0.689,0.661,0.6,0.0,0,0.121,-6.087,0.0319,120.035,4,0.222,turkish pop
233,Goodbye (feat. Nicki Minaj & Willy William),Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,195419,66,0.643,0.0776,0.904,0.0,1,0.189,-3.694,0.0739,103.028,4,0.481,nz pop
